typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40544","false","-1","N/A","0","false","40544","false","0","false","74804558","74542353","74804558","0","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5355","false","-1","N/A","0","false","5355","false","0","false","1637231","1606565","1637231","0","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8759","false","-1","N/A","0","false","8759","false","0","false","1701065","1691368","1701065","0","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10543691.646","true","-1","N/A","0","false","10543691.646","true","0","false","4496536622","4488706723","4496536622","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1611836","false","-1","N/A","0","false","1611836","false","0","false","137736831","136406201","137736831","0","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","442240","false","-1","N/A","0","false","442240","false","0","false","48571688","47607285","48571688","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32688","false","8","kg","32688","false","32688","false","0","false","102673807","0","102673807","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","910","false","8","kg","910","false","910","false","0","false","979406","0","979406","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2502","false","8","kg","2502","false","2502","false","0","false","655657","0","655657","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9867707","false","8","kg","9867707","false","9867707","false","0","false","5037540776","0","5037540776","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1313798","false","8","kg","1313798","false","1313798","false","0","false","127129727","0","127129727","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","873245","false","8","kg","873245","false","873245","false","0","false","73834246","0","73834246","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32575","false","8","kg","32575","false","32575","false","0","false","112966135","0","112966135","0","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","322","false","8","kg","322","false","322","false","0","false","515682","0","515682","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9164","false","8","kg","9164","false","9164","false","0","false","1522896","0","1522896","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12613843.07","true","8","kg","11941140","false","12613843.07","true","0","false","4336686993","0","4336686993","6","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2224011","false","8","kg","2224011","false","2224011","false","0","false","153447491","0","153447491","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1386508","false","8","kg","1386508","false","1386508","false","0","false","95988334","0","95988334","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35091","false","8","kg","35091","false","35091","false","0","false","107334452","106561486","107334452","0","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1451","false","8","kg","1451","false","1451","false","0","false","2289008","1804837","2289008","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10759","false","8","kg","10759","false","10759","false","0","false","1681181","1656928","1681181","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14955864","false","8","kg","14955864","false","14955864","false","0","false","5802360332","5787268331","5802360332","0","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3189436","false","8","kg","3189436","false","3189436","false","0","false","207835470","203882551","207835470","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1555807","false","8","kg","1555807","false","1555807","false","0","false","72033336","69748624","72033336","0","true","false",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55245","false","8","kg","55245","false","55245","false","0","false","147422418","147014702","147422418","0","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13247831","false","8","kg","13247831","false","13247831","false","0","false","5086308285","5076540525","5086308285","0","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4426","false","8","kg","4426","false","4426","false","0","false","3548149","3521192","3548149","0","true","false",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1959653","false","8","kg","1959653","false","1959653","false","0","false","120613549","117917065","120613549","0","true","false",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","284390","Inorganic or organic compounds of precious metals, n.e.c.; amalgams","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10700","false","8","kg","10700","false","10700","false","0","false","1553106","1533107","1553106","0","true","false",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","293359","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1221011","false","8","kg","1221011","false","1221011","false","0","false","96826868","96097721","96826868","0","true","false",
